id_estudiante,edad,genero,lugar_origen,promedio_bachillerato,puntaje_admision,nota_primer_semestre,nivel_socioeconomico,beca,prestamo,ayuda_financiera,desercion
1,22.0,M,Santa Marta,2.83,206.0,3.32,5,no,si,si,si
2,30.0,M,Monteria,2.87,354.0,2.98,2,no,si,si,si
3,26.0,F,Otra,2.82,291.0,2.28,2,no,si,no,si
4,23.0,F,Santa Marta,3.91,213.0,3.26,5,no,no,si,si
5,22.0,F,Santa Marta,4.05,428.0,2.06,3,si,si,no,no
6,34.0,M,Barranquilla,2.86,285.0,3.95,5,si,no,si,si
7,26.0,M,Cartagena,2.7,332.0,2.63,4,si,si,si,no
8,26.0,F,Cartagena,3.48,382.0,3.16,5,no,si,no,no
9,19.0,F,Otra,2.87,261.0,3.23,3,no,si,si,no
10,23.0,M,Cartagena,3.58,418.0,2.79,4,no,si,no,si
11,18.0,M,Monteria,3.32,445.0,3.47,1,si,si,si,no
12,17.0,F,Cartagena,2.29,429.0,,1,no,si,si,si
13,27.0,F,Otra,4.13,278.0,3.7,3,no,no,no,si
14,21.0,M,Cartagena,4.28,348.0,1.92,5,si,si,no,si
15,17.0,F,Monteria,2.83,337.0,3.1,2,no,si,no,no
16,16.0,F,Barranquilla,2.97,264.0,4.55,3,si,si,si,no
17,27.0,F,Otra,3.37,212.0,2.2,4,si,si,si,si
18,27.0,M,Barranquilla,3.4,412.0,2.46,4,no,no,si,si
19,32.0,M,Barranquilla,3.6,441.0,3.41,1,no,si,no,si
20,25.0,M,Barranquilla,4.41,412.0,3.14,4,no,si,no,no
21,31.0,M,Santa Marta,3.09,380.0,3.28,3,si,si,no,no
22,30.0,M,Santa Marta,2.72,372.0,3.39,4,si,si,si,no
23,30.0,M,Barranquilla,2.37,359.0,,3,si,no,si,no
24,34.0,M,Otra,2.76,363.0,3.89,2,no,si,no,si
25,27.0,F,Monteria,3.18,387.0,3.33,1,no,no,si,si
26,18.0,F,Monteria,4.28,390.0,2.81,4,no,si,no,si
27,20.0,F,Cartagena,2.89,455.0,3.54,3,no,no,si,no
28,34.0,F,Otra,3.33,382.0,4.52,5,si,no,si,no
29,22.0,F,Santa Marta,3.19,316.0,2.89,1,si,si,no,si
30,24.0,F,Barranquilla,3.91,481.0,2.22,2,si,si,si,no
31,22.0,F,Cartagena,4.72,395.0,3.89,3,si,no,si,no
32,33.0,M,Monteria,2.88,233.0,2.9,2,no,no,no,si
33,19.0,M,Santa Marta,2.91,251.0,1.26,2,no,si,no,si
34,29.0,F,Santa Marta,3.83,311.0,3.68,4,no,no,si,no
35,33.0,F,Barranquilla,3.61,451.0,2.57,4,si,no,no,si
36,24.0,M,Monteria,4.31,281.0,2.93,3,si,no,si,no
37,17.0,F,Otra,3.55,431.0,3.27,5,no,si,no,si
38,30.0,F,Santa Marta,2.98,,3.15,3,no,no,si,no
39,22.0,M,Barranquilla,,432.0,3.57,5,si,no,si,no
40,27.0,F,Otra,3.87,420.0,2.65,2,no,no,no,si
41,23.0,M,Monteria,3.69,241.0,3.41,1,si,si,si,si
42,30.0,F,Santa Marta,3.5,220.0,2.79,3,si,si,si,no
43,18.0,M,Otra,3.84,241.0,3.59,3,si,no,no,si
44,29.0,M,Otra,3.9,312.0,3.49,5,no,si,no,si
45,32.0,M,Otra,4.03,304.0,2.25,2,no,no,si,si
46,19.0,F,Santa Marta,3.59,391.0,3.87,2,si,si,no,si
47,33.0,M,Santa Marta,3.1,216.0,2.57,5,no,si,no,si
48,23.0,F,Cartagena,3.29,319.0,3.65,2,si,no,si,no
49,19.0,F,Monteria,3.92,328.0,3.29,4,si,si,si,no
